date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_time_trend_4_dummy,yt_pred_mlp_8,yt_pred_mlp_10,yt_pred_mlp_6,yt_pred_mlp_7
1946-01-01,1095.0249999999992,1444.198616180507,1197.389238901429,890,983.8811044314584,,,,
1946-02-01,1077.3934210526309,1417.7272045877276,1182.2558001361897,992,986.8343230431352,,,,
1946-03-01,1214.0776315789465,1545.5715803337537,1321.1474334396944,979,1143.2315308348143,,,,
1946-04-01,1322.1302631578938,1644.7843762768762,1431.1167703908925,959,1270.1404524475222,,,,
1946-05-01,1385.0249999999992,1698.83927674319,1495.637495200308,1110,1351.0498651538148,,,,
1946-06-01,1539.4986842105254,1844.473122881762,1651.4464499732069,1546,1522.7117041209972,,,,
1946-07-01,1929.709210526315,2225.843808421344,2042.7015294464293,1539,1929.2989571479563,,,,
1946-08-01,3034.4986842105254,3321.7934352765697,3148.244838883134,3401,3049.668822559904,,,,
1946-09-01,2284.709210526315,2563.16412667662,2398.918483546477,2092,2314.67849868203,,,,
1946-10-01,1815.6565789473675,2085.271657162996,1930.0382529101464,1436,1859.6588680500715,,,,
1946-11-01,1636.130263157894,1896.9055003584456,1750.3936206583494,1301,1693.414497410283,,,,
1946-12-01,1397.6039473684202,1649.5393429107253,1511.4582710016127,1287,1467.4341640352338,,,,
1947-01-01,1220.817543859648,1464.4041988594968,1362.532522178092,1488,1329.9953440402571,,,,
1947-02-01,1203.1859649122798,1438.9149915567698,1344.9249807775216,1517,1322.42089857368,1451.3338016444934,2038.1337670991563,2790.1641665804495,1235.7098079228556
1947-03-01,1339.8701754385957,1567.7415715928482,1481.374813379577,1707,1468.5013454551845,1451.3338016444934,2012.03790306395,2790.1641665804495,1320.0810255124115
1947-04-01,1447.922807017543,1667.9365718260235,1588.9346515632085,1729,1585.302732318902,1514.3873898764273,1969.330727386754,2790.1641665804495,1436.2215235849296
1947-05-01,1510.817543859648,1722.9736765823898,1651.0781795389391,1788,1656.3121594304955,1674.8542257971735,2196.652888630317,2790.1641665804495,1705.376764596047
1947-06-01,1665.2912280701746,1869.5897270110145,1804.542239412035,2008,1818.279884950376,1851.3595043830364,2210.4703151621306,2790.1641665804495,1903.223840133581
1947-07-01,2055.501754385964,2251.9426168406494,2193.484725919337,2203,2215.377219670536,2251.00752983856,1792.6291965377513,2790.1641665804495,2270.448114288564
1947-08-01,3160.291228070175,3348.874447985927,3296.747744324003,3713,3326.459684909294,2702.0741061394556,2724.008029568676,2790.1641665804495,2665.244909214264
1947-09-01,2410.501754385964,2591.22734367603,2545.1733998891905,2946,2582.382801984946,2622.5612775563204,2637.8919860219653,2790.1641665804495,2509.459785549147
1947-10-01,1941.4491228070167,2114.317078452459,2074.077482088585,2082,2118.475776426335,2286.7037470436308,2599.295716150167,2790.1641665804495,2170.6351313660953
1947-11-01,1761.9228070175432,1926.933125937961,1892.249464606396,2033,1943.5414979728223,1795.1314643586632,2139.6835309920325,2790.1641665804495,1760.671532924259
1947-12-01,1523.3964912280694,1680.5491727802937,1651.1630316531491,1937,1709.0670668900823,1656.38760769741,1860.5410453952632,2790.1641665804495,1635.550913835796
1948-01-01,1346.610087719297,1496.3962330191175,1500.118501467001,1711,1563.3282822865551,1683.2127950921767,2016.808207696582,2790.1641665804495,1674.4641475792864
1948-02-01,1328.978508771929,1471.889230006443,1480.4244806376846,1775,1547.6463283036735,1747.1132227385951,2263.0443011150437,2790.1641665804495,1627.933881906989
1948-03-01,1465.6627192982446,1601.698014332574,1614.8201357448766,1902,1685.8100457542257,1891.2275429538472,2282.533442667184,2790.1641665804495,1728.4588539258034
1948-04-01,1573.715350877192,1702.875218855802,1720.3580983675258,1846,1794.8838052654494,1999.940111851033,2313.237273374979,2790.1641665804495,1838.8655900748447
1948-05-01,1636.610087719297,1758.894527902221,1780.5120527161575,2083,1858.3530300961136,2080.3923366746,2496.326699950693,2790.1641665804495,2008.3372229942286
1948-06-01,1791.0837719298238,1906.4927826208984,1932.018840896036,2262,2012.966301399736,2290.3517420279627,2256.746988054168,2790.1641665804495,2241.8845681374796
1948-07-01,2181.2942982456134,2289.827876740585,2319.036357644003,2193,2402.8932529614144,2711.823395690435,2119.3855465394386,2790.1641665804495,2646.9525362352747
1948-08-01,3286.083771929824,3387.741912175916,3420.406708223216,3792,3506.987729092574,3045.479315234094,2964.494916523159,2790.1641665804495,2963.554383420331
1948-09-01,2536.2942982456134,2631.077012156072,2666.9719978968324,2343,2756.103574104616,3101.2879807923027,2831.839829031116,2790.1641665804495,2956.146722037185
1948-10-01,2067.241666666666,2155.148951222553,2194.0480161385376,2313,2285.5683165194914,2481.7765465837497,2486.274852367604,2790.1641665804495,2368.7074670702023
1948-11-01,1887.715350877192,1968.747202998108,2010.424236632542,2179,2104.1831690696663,2192.7862527888947,2344.5483471504094,2790.1641665804495,2135.2430919043586
1948-12-01,1649.1890350877184,1723.3454541304927,1767.5743435893703,1975,1863.4335550139208,2046.430974993423,2066.6586776539607,2790.1641665804495,1964.6136001579027
1949-01-01,1472.4026315789465,1540.174718659369,1614.7986552471796,1880,1711.5935964538016,1880.7371344546852,2113.277923028257,2790.1641665804495,1845.9564376674248
1949-02-01,1454.7710526315782,1516.6499199367477,1593.405778195703,1930,1689.9828005238485,1973.7910780121456,2291.955741301358,2790.1641665804495,1814.8710805045043
1949-03-01,1591.4552631578938,1647.4409085529314,1726.134879014617,2060,1822.3883310299548,2047.960786690764,2316.4064293622246,2790.1641665804495,1911.8946950457728
1949-04-01,1699.507894736841,1749.6003173662118,1830.0385892828697,1843,1925.8728815924649,2162.4040824492995,2401.0937873496346,2790.1641665804495,1999.6091560089083
1949-05-01,1762.4026315789465,1806.6018307026832,1888.5905932109872,2052,1983.9201984632527,2235.6202185197494,2326.204995749686,2790.1641665804495,2167.1452657785653
1949-06-01,1916.8763157894728,1955.1822897114127,2038.5277329042333,2039,2133.277185788944,2346.0933257640872,2472.071114176515,2790.1641665804495,2274.5903596323938
